,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF NON-CRITICAL VIOLATIONS,ADDRESS
115,40366132,DENINO'S PIZZERIA TAVERN,2019,2.0,524 PORT RICHMOND AVENUE STATEN ISLAND NY 10302
122,40366361,THREE STAR RESTAURANT,2019,2.0,1611 AVENUE U BROOKLYN NY 11229
125,40366396,DESMOND'S TAVERN,2019,2.0,433 PARK AVENUE SOUTH MANHATTAN NY 10016
126,40366425,NAOMI KOSHER PIZZA,2019,2.0,6828 MAIN STREET QUEENS NY 11367
128,40366471,ROLL-N-ROASTER,2019,1.0,2901 EMMONS AVENUE BROOKLYN NY 11235
131,40366487,BRENNAN & CARR,2019,1.0,3432 NOSTRAND AVENUE BROOKLYN NY 11229
133,40366497,THE PUNCH BOWL,2019,1.0,5820 BROADWAY BRONX NY 10463
136,40366549,IRISH COTTAGE,2019,1.0,10807 72 AVENUE QUEENS NY 11375
138,40366574,BLARNEY STONE,2019,2.0,11 TRINITY PLACE MANHATTAN NY 10006
141,40366652,FASCATI'S PIZZERIA,2019,2.0,80 HENRY STREET BROOKLYN NY 11201
149,40366857,MALONEY'S BAR,2019,1.0,8769 SUTPHIN BOULEVARD QUEENS NY 11435
154,40366938,LULU'S COFFEE SHOP,2019,1.0,1191 CASTLE HILL AVENUE BRONX NY 10462
157,40366993,FINNEGAN'S WAKE PUB,2019,1.0,1361 FIRST AVENUE MANHATTAN NY 10021
163,40367179,TWINS PUB,2019,3.0,421 9 AVENUE MANHATTAN NY 10001
166,40367189,BROOME STREET BAR,2019,1.0,363 WEST BROADWAY MANHATTAN NY 10013
168,40367232,O'HANLON'S PUB,2019,2.0,2257 31 STREET QUEENS NY 11105
170,40367241,JG MELON RESTAURANT,2019,2.0,1291 3 AVENUE MANHATTAN NY 10021
171,40367278,JACK'S PIZZA & PASTA,2019,1.0,21249 26 AVENUE QUEENS NY 11360
177,40367534,MR BROADWAY KOSHER RESTAURANT,2019,2.0,1372 BROADWAY MANHATTAN NY 10018
180,40367677,CAPITOL RESTAURANT,2019,2.0,4933 BROADWAY MANHATTAN NY 10034
182,40367715,LA BONNE SOUPE BISTRO,2019,2.0,48 WEST   55 STREET MANHATTAN NY 10019
186,40367766,GRAY'S PAPAYA,2019,1.0,2080 BROADWAY MANHATTAN NY 10023
190,40367829,MCDONALD'S,2019,1.0,7550 101 AVENUE QUEENS NY 11416
191,40367841,CAFE FIORELLO,2019,2.0,1900 BROADWAY MANHATTAN NY 10023
194,40367870,AMORE PIZZERIA & RESTAURANT,2019,1.0,3027 STRATTON STREET QUEENS NY 11354
205,40368271,CHERRY TAVERN,2019,2.0,441 EAST    6 STREET MANHATTAN NY 10009
208,40368313,RED FLAME DINER,2019,1.0,67 WEST   44 STREET MANHATTAN NY 10036
214,40368555,IL CORTILE RESTAURANT,2019,2.0,123 MULBERRY STREET MANHATTAN NY 10013
218,40368752,RAOULS,2019,3.0,180 PRINCE STREET MANHATTAN NY 10012
219,40368763,THE BROOK,2019,1.0,111 EAST   54 STREET MANHATTAN NY 10022
221,40368809,P.J.' S,2019,2.0,18925 UNION TURNPIKE QUEENS NY 11366
223,40368824,DOUBLES CLUB,2019,1.0,783 5 AVENUE MANHATTAN NY 10022
233,40369165,REIF'S TAVERN,2019,1.0,302 EAST   92 STREET MANHATTAN NY 10128
238,40369418,CAFFE REGGIO,2019,1.0,119 MAC DOUGAL STREET MANHATTAN NY 10012
243,40369619,MUDVILLE SALOON,2019,1.0,126 CHAMBERS STREET MANHATTAN NY 10007
245,40369667,WHITE CASTLE,2019,1.0,846 EMPIRE BOULEVARD BROOKLYN NY 11213
248,40369675,WHITE CASTLE,2019,2.0,4302 QUEENS BOULEVARD QUEENS NY 11104
253,40369782,MCDONALD'S,2019,1.0,701 UTICA AVENUE BROOKLYN NY 11203
256,40369849,GINO'S PIZZERIA,2019,2.0,6132 SPRINGFIELD BOULEVARD QUEENS NY 11364
260,40369940,THE NEW AMITY RESTAURANT,2019,1.0,1134 MADISON AVENUE MANHATTAN NY 10028
264,40369983,THE DART SPORTS BAR,2019,2.0,8318 PARSONS BOULEVARD QUEENS NY 11432
265,40370015,BAMONTE'S RESTAURANT,2019,1.0,32 WITHERS ST BROOKLYN NY 11211
270,40370238,BURGER KING,2019,2.0,6815 NORTHERN BOULEVARD QUEENS NY 11377
274,40370436,ROSSINI'S,2019,2.0,108 EAST   38 STREET MANHATTAN NY 10016
276,40370463,THREE GUY'S RESTAURANT,2019,2.0,960 MADISON AVENUE MANHATTAN NY 10021
277,40370507,THE PLAYERS,2019,1.0,16 GRAMERCY PARK SOUTH MANHATTAN NY 10003
278,40370638,TJK CAFE & RESTAURANT,2019,2.0,24904 HORACE HARDING BOULEVARD QUEENS NY 11362
281,40370781,MCDONALD'S,2019,1.0,16011 WILLETS POINT BOULEVARD QUEENS NY 11357
284,40370916,BURGER KING,2019,1.0,25810 HILLSIDE AVENUE QUEENS NY 11004
287,40370994,MAMMA LUCIA,2019,1.0,1701 FOSTER AVENUE BROOKLYN NY 11230
290,40371614,LA BARAKA RESTAURANT,2019,2.0,25509 NORTHERN BOULEVARD QUEENS NY 11362
297,40371988,NORTH SHORE DINER,2019,2.0,19652 NORTHERN BLVD QUEENS NY 11358
300,40372196,MCDONALD'S,2019,1.0,3660 EAST TREMONT AVENUE BRONX NY 10465
305,40372422,BURGER KING,2019,1.0,9283 QUEENS BOULEVARD QUEENS NY 11374
309,40372466,MURALS ON 54/RANDOLPH'S,2019,2.0,65 WEST   54 STREET MANHATTAN NY 10019
313,40372618,BURGER KING,2019,1.0,15405 ROCKAWAY BOULEVARD QUEENS NY 11434
317,40372971,RACQUET & TENNIS CLUB,2019,2.0,370 PARK AVENUE MANHATTAN NY 10022
322,40373462,VILLA BERULIA,2019,2.0,107 EAST   34 STREET MANHATTAN NY 10016
324,40373500,VICTOR'S CAFE,2019,2.0,236 WEST   52 STREET MANHATTAN NY 10019
328,40373794,READY PENNY INN,2019,2.0,3707 73 STREET QUEENS NY 11372
335,40373938,IHOP,2019,1.0,5655 BROADWAY BRONX NY 10463
338,40374131,PRIMAVERA PIZZA & PASTA,2019,1.0,1005 2 AVENUE MANHATTAN NY 10022
341,40374266,KASTELI II,2019,2.0,372 8 AVENUE MANHATTAN NY 10001
343,40374277,MOLLY WEE PUB,2019,2.0,402 8 AVENUE MANHATTAN NY 10001
346,40374460,MCDONALD'S,2019,3.0,7269 KISSENA BOULEVARD QUEENS NY 11367
349,40374814,EUROPA BAR,2019,1.0,9402 SUTPHIN BOULEVARD QUEENS NY 11435
353,40375286,LA VILLA DE PIZZA & RESTAURANT,2019,2.0,8207 153 AVENUE QUEENS NY 11414
361,40375929,VILLA FIORITA,2019,1.0,7720 18 AVENUE BROOKLYN NY 11214
363,40376029,MOMS LUNCHEONETTE,2019,2.0,10102 103 AVENUE QUEENS NY 11417
367,40376290,KING'S ARMS RESTAURANT,2019,2.0,500 FOREST AVENUE STATEN ISLAND NY 10310
369,40376493,THE WATER CLUB,2019,1.0,500 EAST   30 STREET MANHATTAN NY 10016
371,40376495,MARCO POLO RISTORANTE,2019,1.0,345 COURT STREET BROOKLYN NY 11231
375,40376735,PJ CARNEY'S,2019,1.0,906 7 AVENUE MANHATTAN NY 10019
377,40377124,JP'S WATERSIDE RESTAURANT,2019,1.0,703 MINNIEFORD AVE BRONX NY 10464
378,40377243,JOHN & JOE PIZZERIA & RESTAURANT,2019,3.0,749 LYDIG AVENUE BRONX NY 10462
380,40377294,MCDONALD'S,2019,1.0,7002 COOPER AVENUE QUEENS NY 11385
384,40377506,VESUVIO RESTAURANT & PIZZA,2019,2.0,7303 3 AVENUE BROOKLYN NY 11209
386,40377560,WESTERN BAKERY,2019,1.0,22813 MERRICK BOULEVARD QUEENS NY 11413
389,40377789,CAFE LUXEMBOURG,2019,2.0,200 WEST   70 STREET MANHATTAN NY 10023
391,40378035,"DUNKIN' DONUTS, BASKIN ROBBINS",2019,1.0,15367 HORACE HARDING EXPRESSWAY QUEENS NY 11367
393,40378136,BROADWAY RESTAURANT,2019,1.0,2664 BROADWAY MANHATTAN NY 10025
395,40378212,CUCHIFRITO,2019,1.0,168 EAST  116 STREET MANHATTAN NY 10029
398,40378579,ANDREWS COFFEE SHOP,2019,1.0,463 7 AVENUE MANHATTAN NY 10018
400,40378719,THE CLUBHOUSE,2019,1.0,6121 FRESH POND ROAD QUEENS NY 11379
402,40378774,FAME DINER,2019,1.0,6967 GRAND AVENUE QUEENS NY 11378
411,40379566,LONDON LENNIES,2019,1.0,6388 WOODHAVEN BOULEVARD QUEENS NY 11374
414,40379746,RESTUARANT NIPPON,2019,2.0,155 EAST   52 STREET MANHATTAN NY 10022
416,40379890,O'HARA'S,2019,1.0,120 CEDAR STREET MANHATTAN NY 10006
422,40380422,CARLOS PIZZA,2019,1.0,7402 METROPOLITAN AVENUE QUEENS NY 11379
424,40380432,THE BITTER END,2019,2.0,147 BLEECKER STREET MANHATTAN NY 10012
428,40380520,ANNAM BRAHAM RESTAURANT,2019,1.0,8443 164 STREET QUEENS NY 11432
429,40380592,MONTERO BAR & GRILL,2019,1.0,73 ATLANTIC AVENUE BROOKLYN NY 11201
431,40380628,PISA PIZZERIA,2019,3.0,6568 MYRTLE AVENUE QUEENS NY 11385
433,40380657,PETE'S CLAM STOP,2019,3.0,1320 SURF AVENUE BROOKLYN NY 11224
438,40381210,SYMPOSIUM GREEK RESTAURANT,2019,3.0,544 WEST  113 STREET MANHATTAN NY 10025
440,40381551,CLARK'S RESTAURANT,2019,2.0,80 CLARK STREET BROOKLYN NY 11201
445,40381811,DUFFY'S,2019,1.0,650 FOREST AVENUE STATEN ISLAND NY 10310
452,40383003,COBBLESTONE PUB,2019,1.0,11718 QUEENS BOULEVARD QUEENS NY 11375
457,40383147,IL TOSCANO RISTORANTE,2019,2.0,4205 235 STREET QUEENS NY 11363
459,40383281,GABY'S PIZZA,2019,2.0,20423 HILLSIDE AVENUE QUEENS NY 11423
463,40383496,THE GROTTO,2019,2.0,69 NEW STREET MANHATTAN NY 10004
467,40383819,LAST STOP (AI & JI) RESTAURANT,2019,1.0,5977 BROADWAY BRONX NY 10471
472,40384115,PHIL & SONS RESTAURANT & PIZZERIA,2019,1.0,5729 MAIN STREET QUEENS NY 11355
477,40384340,FRIEND OF A FARMER,2019,1.0,77 IRVING PLACE MANHATTAN NY 10003
482,40384528,VESELKA RESTAURANT,2019,1.0,144 SECOND AVENUE MANHATTAN NY 10003
489,40385157,PANGEA RESTAURANT,2019,1.0,178 2 AVENUE MANHATTAN NY 10003
491,40385461,CLOISTER CAFE,2019,2.0,238 EAST    9 STREET MANHATTAN NY 10003
494,40385555,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,2019,1.0,200 5 AVENUE BROOKLYN NY 11217
496,40385580,LATTANZI,2019,1.0,361 WEST   46 STREET MANHATTAN NY 10036
498,40385584,PIZZA GARDEN,2019,2.0,17101 NORTHERN BOULEVARD QUEENS NY 11358
503,40385767,ACADEMY RESTAURAUNT,2019,1.0,69 LAFAYETTE AVENUE BROOKLYN NY 11217
507,40385873,RAY'S PIZZA,2019,1.0,829-831 7 AVENUE MANHATTAN NY 10019
510,40385955,LJUBO'S PIZZERIA,2019,1.0,15 WESTCHESTER SQUARE BRONX NY 10461
512,40385974,DAKOTA DINER,2019,1.0,921 RICHMOND AVENUE STATEN ISLAND NY 10314
514,40386001,PRIMOLA RESTAURANT,2019,2.0,1226 SECOND AVENUE MANHATTAN NY 10065
518,40386147,JACKS FIRE DEPARTMENT,2019,1.0,3946 SKILLMAN AVENUE QUEENS NY 11104
525,40386429,Q.B.COMM.COLLEGE-MAIN KITCHEN/TIGER BITES SECTION,2019,2.0,22205 56 AVENUE QUEENS NY 11364
526,40386508,NEW YORK UNIVERSITY - LAW SCHOOL,2019,1.0,110 WEST THIRD STREET MANHATTAN NY 10012
529,40386556,WESTSIDE RESTAURANT,2019,2.0,2020 BROADWAY MANHATTAN NY 10023
531,40386569,SAL AND CARMINE PIZZA,2019,2.0,2671 BROADWAY MANHATTAN NY 10025
534,40386612,WHITE CASTLE,2019,2.0,21317 NORTHERN BOULEVARD QUEENS NY 11361
536,40386619,PERIYALI,2019,2.0,35 WEST   20 STREET MANHATTAN NY 10011
540,40386675,COPPER KETTLE,2019,2.0,5024 SKILLMAN AVENUE QUEENS NY 11377
542,40386722,SANREMO PIZZA,2019,2.0,5601 MYRTLE AVENUE QUEENS NY 11385
544,40386747,ARNO RISTORANTE,2019,1.0,141 WEST   38 STREET MANHATTAN NY 10018
546,40386793,SCIENCE CAFE (QUEENSBOROUGH  COMMUNITY COLLEGE),2019,1.0,22205 56 AVENUE QUEENS NY 11364
547,40386837,WHITE CASTLE,2019,1.0,3101 ATLANTIC AVENUE BROOKLYN NY 11208
549,40386976,LUPE'S EAST L.A. KITCHEN,2019,4.0,110 AVENUE OF THE AMERICAS MANHATTAN NY 10013
552,40387027,LA CASA DEL POLLO RESTAURANT,2019,2.0,8707 ROOSEVELT AVENUE QUEENS NY 11372
554,40387143,WHITE CASTLE,2019,1.0,1677 BRUCKNER BOULEVARD BRONX NY 10472
557,40387178,WHITE CASTLE,2019,3.0,550 EAST FORDHAM ROAD BRONX NY 10458
559,40387243,JIMMY MAX RESTAURANT,2019,2.0,280 WATCHOGUE ROAD STATEN ISLAND NY 10314
561,40387277,PECULIAR PUB,2019,1.0,145 BLEECKER STREET MANHATTAN NY 10012
563,40387357,CAFE LALO,2019,1.0,201 WEST   83 STREET MANHATTAN NY 10024
564,40387399,ARTURO'S PIZZA,2019,3.0,5189A BROADWAY BRONX NY 10463
566,40387528,WALNUT BUS STOP,2019,1.0,881 EAST  134 STREET BRONX NY 10454
569,40387825,GREEN PAVILION RESTAURANT & SPORTS LOUNGE,2019,2.0,4307 18 AVENUE BROOKLYN NY 11218
574,40388225,HOLLAND BAR,2019,3.0,532 9 AVENUE MANHATTAN NY 10018
576,40388235,LUCKY PIZZA,2019,1.0,2714 BRIDGE PLAZA SOUTH QUEENS NY 11101
577,40388253,THE PIZZA PLACE,2019,3.0,1665 METROPOLITAN AVENUE BRONX NY 10462
579,40388260,AMNON KOSHER PIZZA,2019,1.0,4814 13 AVENUE BROOKLYN NY 11219
580,40388269,WHITE CASTLE,2019,1.0,3663 BOSTON ROAD BRONX NY 10466
582,40388270,T.G.I. FRIDAY'S,2019,1.0,604 5 AVENUE MANHATTAN NY 10020
584,40388386,LEE'S VILLA CHINESE RESTAURANT,2019,1.0,152 LAWRENCE STREET BROOKLYN NY 11201
592,40388808,TERESA'S RESTURANT,2019,1.0,80 MONTAGUE STREET BROOKLYN NY 11201
601,40389011,BAGEL CAFE,2019,2.0,2214 BARTOW AVE BRONX NY 10475
606,40389243,DA TOMMASSO,2019,1.0,903 EIGHTH AVENUE MANHATTAN NY 10019
607,40389356,TOM'S RESTAURANT,2019,1.0,2880 BROADWAY MANHATTAN NY 10025
611,40389732,GIANDO,2019,1.0,412 KENT AVENUE BROOKLYN NY 11249
614,40389881,WHARF BAR AND GRILL,2019,2.0,416 BEACH  116 STREET QUEENS NY 11694
616,40389903,QUEEN RESTAURANT,2019,1.0,84 COURT STREET BROOKLYN NY 11201
618,40390163,5 BURRO CAFE,2019,1.0,7205 AUSTIN STREET QUEENS NY 11375
627,40390409,THE FAMOUS JIMBO'S HAMBURGER PALACE,2019,2.0,1345 AMSTERDAM AVENUE MANHATTAN NY 10027
629,40390547,STAGE DOOR DELI,2019,1.0,26 VESEY STREET MANHATTAN NY 10007
632,40390696,HAN BAT RESTAURANT,2019,1.0,53 WEST   35 STREET MANHATTAN NY 10001
635,40390902,SCOTTY'S DINER,2019,2.0,336 LEXINGTON AVENUE MANHATTAN NY 10016
639,40391086,A & S PIZZERIA,2019,2.0,87 STUYVESANT PLACE STATEN ISLAND NY 10301
642,40391143,LITTLE PIE COMPANY,2019,2.0,424 WEST   43 STREET MANHATTAN NY 10036
644,40391205,GROTTO AZZURA PIZZERIA,2019,1.0,8505 21 AVENUE BROOKLYN NY 11214
648,40391284,BAR ASSOCIATION OF THE CITY OF NY KITCHEN,2019,1.0,42 WEST   44 STREET MANHATTAN NY 10036
651,40391350,VACCARO'S PIZZERIA & TRATTORIA,2019,1.0,8802 LITTLE NECK PARKWAY QUEENS NY 11001
653,40391417,THE BEEKMAN,2019,1.0,15 BEEKMAN STREET MANHATTAN NY 10038
655,40391498,PEKING RESTAURANT,2019,2.0,5811 WOODSIDE AVENUE QUEENS NY 11377
660,40391639,MCDONALD'S,2019,1.0,85 BRUCKNER BOULEVARD BRONX NY 10454
661,40391695,ORSO,2019,2.0,322 WEST   46 STREET MANHATTAN NY 10036
664,40391745,LILY'S BAR @ ROGER SMITH HOTEL,2019,1.0,501 LEXINGTON AVENUE MANHATTAN NY 10017
666,40391808,IHOP,2019,2.0,25402 ROCKAWAY BOULEVARD QUEENS NY 11422
667,40391857,LA STRADA RESTAURANT,2019,1.0,139 NEW DORP LANE STATEN ISLAND NY 10306
669,40391913,THE NIPPON CLUB,2019,1.0,145 WEST   57 STREET MANHATTAN NY 10019
675,40392256,MCDONALD'S,2019,1.0,4018 MAIN STREET QUEENS NY 11354
677,40392285,CHARLIE'S CORNER RESTAURANT & DELI,2019,2.0,537 PARK AVENUE BROOKLYN NY 11205
679,40392313,CAFE BELLA VITA,2019,3.0,1919 HYLAN BOULEVARD STATEN ISLAND NY 10305
681,40392339,ABSOLUTE BAGELS,2019,1.0,2788 BROADWAY MANHATTAN NY 10025
684,40392410,DUNKIN' DONUTS,2019,1.0,8777 PARSONS BOULEVARD QUEENS NY 11432
686,40392668,LUCYS,2019,3.0,135 AVENUE A MANHATTAN NY 10009
689,40392721,NUEVA VILLA CHINA RESTAURANT,2019,2.0,3910 103 STREET QUEENS NY 11368
691,40392724,JAIYA THAI ORIENTAL RESTAURANT,2019,2.0,396 THIRD AVENUE MANHATTAN NY 10016
692,40392766,BERGEN BEACH CAFE,2019,2.0,7112 AVENUE U BROOKLYN NY 11234
698,40392939,JACKSON HOUSE RESTAURANT,2019,1.0,8214 37 AVENUE QUEENS NY 11372
701,40393051,FRIEND'S TAVERN,2019,1.0,7811 ROOSEVELT AVENUE QUEENS NY 11372
707,40393303,DEMARCHELIER RESTAURANT,2019,1.0,50 EAST   86 STREET MANHATTAN NY 10028
713,40393488,BELLA NAPOLI,2019,1.0,130 MADISON AVENUE MANHATTAN NY 10016
715,40393519,DOWN THE HATCH,2019,2.0,175 WEST    4 STREET MANHATTAN NY 10014
717,40393558,FITZGERALD'S PUB,2019,1.0,336 THIRD AVENUE MANHATTAN NY 10010
719,40393561,FAROS RESTAURANT,2019,1.0,95 CHURCH AVENUE BROOKLYN NY 11218
720,40393570,PASTA LOVERS TRATTORIA,2019,3.0,142 WEST   49 STREET MANHATTAN NY 10019
722,40393591,DON GIOVANNI RESTAURANT,2019,3.0,214 10 AVENUE MANHATTAN NY 10011
725,40393688,EL MOLINO ROJO RESTAURANT,2019,3.0,101 EAST  161 STREET BRONX NY 10451
728,40393725,TRIBECA GRILL,2019,1.0,375 GREENWICH STREET MANHATTAN NY 10013
730,40393742,POPEYES LOUISIANA KITCHEN/DUNKIN DONUTS,2019,1.0,321 WEST  125 STREET MANHATTAN NY 10027
732,40393753,C & B LUNCHEONETTE,2019,2.0,983 WYCKOFF AVENUE QUEENS NY 11385
734,40393761,SAN PIETRO,2019,1.0,18 EAST   54 STREET MANHATTAN NY 10022
737,40393787,DUNKIN' DONUTS,2019,1.0,5615 MYRTLE AVENUE QUEENS NY 11385
741,40393905,GRANDSTAND TAVERN,2019,1.0,8535 GRAND AVENUE QUEENS NY 11373
748,40394037,WHITE CASTLE,2019,2.0,17528 HILLSIDE AVENUE QUEENS NY 11432
750,40394054,GARDEN OF EAT-IN,2019,1.0,1416 AVENUE J BROOKLYN NY 11230
752,40394110,CRONIN & PHELAN PUB & RESTAURANT,2019,1.0,3814 BROADWAY QUEENS NY 11103
758,40394357,ABITINO'S PIZZA,2019,2.0,733 2 AVENUE MANHATTAN NY 10016
762,40394518,MATEUS RESTAURANT,2019,1.0,22205 JAMAICA AVENUE QUEENS NY 11428
764,40394555,LUIGI'S RESTAURANT,2019,1.0,26521 UNION TURNPIKE QUEENS NY 11040
770,40394701,THE END ZONE BAR,2019,2.0,14944 14 AVENUE QUEENS NY 11357
772,40394749,FINE & SCHAPIRO,2019,2.0,138 WEST   72 STREET MANHATTAN NY 10023
774,40394761,E & L BAKERY & COFFEE SHOP,2019,1.0,4202 WHITE PLAINS ROAD BRONX NY 10466
779,40394962,RUSSO'S ON THE BAY,2019,1.0,16245 CROSS BAY BOULEVARD QUEENS NY 11414
783,40395079,RUDY'S BAR & Grill,2019,2.0,627 9 AVENUE MANHATTAN NY 10036
785,40395087,AUSTINS ALE HOUSE,2019,1.0,8270 AUSTIN STREET QUEENS NY 11415
787,40395093,COYOTE UGLY,2019,1.0,153 FIRST AVENUE MANHATTAN NY 10003
789,40395110,PRIMA PASTA & CAFE,2019,1.0,16150 CROSSBAY BOULEVARD QUEENS NY 11414
792,40395211,THE GRAY MARE,2019,2.0,61 2 AVENUE MANHATTAN NY 10003
795,40395239,CAFE CARDINI,2019,1.0,27120 UNION TURNPIKE QUEENS NY 11040
797,40395298,T-BONE DINER,2019,1.0,10748 QUEENS BOULEVARD QUEENS NY 11375
799,40395310,SUNRISE COFFEE SHOP,2019,1.0,4504 PARSONS BOULEVARD QUEENS NY 11355
801,40395313,MY THREE SONS RESTAURANT,2019,1.5,7121 FT HAMILTON PARKWAY BROOKLYN NY 11228
805,40395366,MIKE'S DONUTS,2019,1.0,6822 5 AVENUE BROOKLYN NY 11220
807,40395375,ILDA'S PLACE II,2019,1.0,8122 BAXTER AVENUE QUEENS NY 11373
811,40395511,WHITE CASTLE,2019,1.0,2900 EAST TREMONT AVENUE BRONX NY 10461
814,40395568,FRANK'S PLACE,2019,2.0,365 SMITH STREET BROOKLYN NY 11231
815,40395597,ELMHURST FAMOUS PIZZA,2019,1.0,8307 BROADWAY QUEENS NY 11373
819,40395865,PIZZA NOSH,2019,1.0,2807 NOSTRAND AVENUE BROOKLYN NY 11229
822,40395882,WHITE CASTLE,2019,2.0,9808 ROCKAWAY BOULEVARD QUEENS NY 11417
824,40395892,THE STUMBLE INN,2019,1.0,1454 2 AVENUE MANHATTAN NY 10021
827,40395910,MCDONALD'S,2019,1.0,25001 NORTHERN BOULEVARD QUEENS NY 11362
829,40395921,GOLDEN PIZZA,2019,1.0,504 EAST  138 STREET BRONX NY 10454
830,40395935,MCDONALD'S,2019,1.0,1660 RICHMOND AVENUE STATEN ISLAND NY 10314
833,40396020,LA CONTENTA OESTE,2019,4.0,78 WEST   11 STREET MANHATTAN NY 10011
842,40396381,LA DINASTIA,2019,2.0,4059 BROADWAY MANHATTAN NY 10032
846,40396433,CHRISTINA'S RESTAURANT,2019,1.0,853 MANHATTAN AVENUE BROOKLYN NY 11222
848,40396445,POLLOS A LA BRASA MARIO,2019,1.0,8101 ROOSEVELT AVENUE QUEENS NY 11372
850,40396464,ESS-A-BAGEL,2019,1.0,831 THIRD AVENUE MANHATTAN NY 10022
856,40396521,TEE DEE'S TAVERN,2019,2.0,6431 COOPER AVENUE QUEENS NY 11385
861,40396596,NEW WAVE CAFE & RESTAURANT,2019,1.0,2210 BROADWAY MANHATTAN NY 10024
867,40396927,MANHATTAN ESPRESSO,2019,1.0,146 EAST   49 STREET MANHATTAN NY 10017
870,40397189,BAGEL BOB'S,2019,1.0,51 UNIVERSITY PLACE MANHATTAN NY 10003
872,40397190,FRANKIE BOY'S PIZZA & SALAD,2019,2.0,1367 BROADWAY MANHATTAN NY 10018
875,40397243,CAFFE GRAZIE,2019,1.0,26 EAST   84 STREET MANHATTAN NY 10028
881,40397486,CREDIT AGRICOLE-CBI EXECUTIVE ROOM,2019,1.0,1301 AVENUE OF THE AMERICAS MANHATTAN NY 10019
885,40397624,LE MIRAGE CAFE,2019,1.0,20 WEST   43 STREET MANHATTAN NY 10036
888,40397626,JENTANA'S PIZZA,2019,1.0,5102 FT HAMILTON PARKWAY BROOKLYN NY 11219
891,40397687,USAGI,2019,1.0,320 EAST   49 STREET MANHATTAN NY 10017
892,40397700,THE MERCURY LOUNGE,2019,1.0,217 EAST HOUSTON STREET MANHATTAN NY 10002
902,40397916,CATERINA'S PIZZERIA,2019,2.0,907 LIVONIA AVENUE BROOKLYN NY 11207
914,40398549,PERRY'S RESTAURANT,2019,2.0,3482 NOSTRAND AVENUE BROOKLYN NY 11229
916,40398561,TOM AND JERRY BAR,2019,2.0,288 ELIZABETH STREET MANHATTAN NY 10012
924,40398899,KNAPP ST PIZZA II,2019,2.0,261 AVENUE X BROOKLYN NY 11223
926,40398989,FRESCO,2019,2.0,34 EAST   52 STREET MANHATTAN NY 10022
