,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF NON-CRITICAL VIOLATIONS,ADDRESS
2,30112340,WENDY'S,2019,2.0,469 FLATBUSH AVENUE BROOKLYN NY 11225
6,40356483,WILKEN'S FINE FOOD,2019,2.0,7114 AVENUE U BROOKLYN NY 11234
11,40359705,NATHAN'S FAMOUS,2019,2.0,1310 SURF AVENUE BROOKLYN NY 11224
15,40361322,CARVEL ICE CREAM,2019,1.0,26515 HILLSIDE AVENUE QUEENS NY 11004
19,40362274,ANGELIKA FILM CENTER,2019,1.0,18 WEST HOUSTON STREET MANHATTAN NY 10012
22,40362715,THE COUNTRY CAFE,2019,2.0,60 WALL STREET MANHATTAN NY 10005
28,40363427,BAGELS N BUNS,2019,1.0,2491 VICTORY BOULEVARD STATEN ISLAND NY 10314
32,40363685,BERKELEY,2019,2.0,437 MADISON AVENUE MANHATTAN NY 10022
36,40363920,NEW GOLDEN BILLION,2019,1.0,976 RUTLAND ROAD BROOKLYN NY 11212
42,40364299,B & M HOT BAGEL & GROCERY,2019,1.0,203 GIFFORDS LANE STATEN ISLAND NY 10308
45,40364335,PETER LUGER STEAKHOUSE,2019,1.0,178 BROADWAY BROOKLYN NY 11211
51,40364443,CRIMINAL COURT BLDG CAFETERIA,2019,1.0,100 CENTRE STREET MANHATTAN NY 10013
53,40364449,GOTTSCHEER HALL,2019,2.0,657 FAIRVIEW AVENUE QUEENS NY 11385
59,40364576,TOUT VA BIEN,2019,2.0,311 WEST   51 STREET MANHATTAN NY 10019
61,40364581,JUNIOR'S,2019,2.0,386 FLATBUSH AVENUE EXTENSION BROOKLYN NY 11201
62,40364668,MARCHIS RESTAURANT,2019,2.0,251 EAST   31 STREET MANHATTAN NY 10016
64,40364681,TOWNE CAFE,2019,2.0,2602 EAST   15 STREET BROOKLYN NY 11235
69,40364920,RIZZO'S FINE PIZZA,2019,3.0,3013 STEINWAY STREET QUEENS NY 11103
79,40365280,COMO PIZZA,2019,2.0,4035 BROADWAY MANHATTAN NY 10032
87,40365499,YANKEE TAVERN,2019,3.0,72 EAST  161 STREET BRONX NY 10451
91,40365577,V & T RESTAURANT,2019,1.0,1024 AMSTERDAM AVENUE MANHATTAN NY 10025
93,40365627,JAHN'S RESTAURANT,2019,2.0,8104 37 AVENUE QUEENS NY 11372
98,40365789,PATSY'S ITALIAN RESTAURANT,2019,1.5,236 WEST   56 STREET MANHATTAN NY 10019
100,40365841,PARKSIDE RESTAURANT,2019,2.0,10701 CORONA AVENUE QUEENS NY 11368
105,40365904,MEE SUM CAFE,2019,1.0,26 PELL STREET MANHATTAN NY 10013
111,40366002,MARGHERITA PIZZA,2019,1.0,16304 JAMAICA AVENUE QUEENS NY 11432
114,40366109,FIFTH AVENUE BINGO,2019,1.0,416 5 AVENUE BROOKLYN NY 11215
