,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF CRITICAL VIOLATIONS,ADDRESS
76,40365239,DORRIAN'S RED HAND RESTAURANT,2018,1.3333333333333333,1616 2 AVENUE MANHATTAN NY 10028
77,40365264,LA GRENOUILLE,2018,1.0,3 EAST   52 STREET MANHATTAN NY 10022
79,40365288,KEATS RESTAURANT,2018,1.0,842 2 AVENUE MANHATTAN NY 10017
80,40365348,PANCHITO'S,2018,2.0,103 MACDOUGAL STREET MANHATTAN NY 10012
81,40365355,NEW CORNER,2018,1.0,7201 8 AVENUE BROOKLYN NY 11228
82,40365361,THE PRINCETON CLUB,2018,1.0,15 WEST   43 STREET MANHATTAN NY 10036
84,40365387,ARTURO'S,2018,1.0,106 WEST HOUSTON STREET MANHATTAN NY 10012
85,40365472,SPAIN RESTAURANT & BAR,2018,1.5,113 WEST   13 STREET MANHATTAN NY 10011
86,40365499,YANKEE TAVERN,2018,2.0,72 EAST  161 STREET BRONX NY 10451
88,40365525,DONUT PUB,2018,1.0,203 WEST   14 STREET MANHATTAN NY 10011
89,40365546,REBEN LUNCHEONETTE,2018,1.5,229 HAVEMEYER STREET BROOKLYN NY 11211
90,40365577,V & T RESTAURANT,2018,1.0,1024 AMSTERDAM AVENUE MANHATTAN NY 10025
92,40365627,JAHN'S RESTAURANT,2018,1.0,8104 37 AVENUE QUEENS NY 11372
94,40365632,J&V FAMOUS PIZZA,2018,1.0,6322 18 AVENUE BROOKLYN NY 11204
96,40365644,JOE ALLEN RESTAURANT,2018,1.5,326 WEST   46 STREET MANHATTAN NY 10036
97,40365784,GARGIULO'S RESTAURANT,2018,1.5,2911 WEST   15 STREET BROOKLYN NY 11224
99,40365841,PARKSIDE RESTAURANT,2018,1.0,10701 CORONA AVENUE QUEENS NY 11368
101,40365844,LAVELLE'S ADMIRAL'S CLUB,2018,1.0,4515 BROADWAY QUEENS NY 11103
102,40365871,NEARY'S PUB,2018,1.0,358 EAST   57 STREET MANHATTAN NY 10022
103,40365882,NEW YORK PIZZA SUPREMA,2018,1.0,413 8 AVENUE MANHATTAN NY 10001
104,40365904,MEE SUM CAFE,2018,1.0,26 PELL STREET MANHATTAN NY 10013
106,40365938,NANCY'S RESTAURANT,2018,1.0,25541 JAMAICA AVENUE QUEENS NY 11001
107,40365942,HOP KEE RESTAURANT,2018,1.0,21 MOTT STREET MANHATTAN NY 10013
108,40365972,BLARNEY BAR,2018,1.0,14609 JAMAICA AVENUE QUEENS NY 11435
111,40366054,HEALY'S PUB,2018,1.0,10807 ROCKAWAY BEACH BOULEVARD QUEENS NY 11694
112,40366109,FIFTH AVENUE BINGO,2018,1.0,416 5 AVENUE BROOKLYN NY 11215
114,40366132,DENINO'S PIZZERIA TAVERN,2018,1.0,524 PORT RICHMOND AVENUE STATEN ISLAND NY 10302
116,40366154,MICHAEL'S RESTAURANT,2018,1.0,2929 AVENUE R BROOKLYN NY 11229
117,40366162,LENIHAN'S SALOON,2018,1.0,11909 ATLANTIC AVENUE QUEENS NY 11418
118,40366222,KILLARNEY ROSE,2018,1.5,80 BEAVER STREET MANHATTAN NY 10005
119,40366230,DON PEPPE,2018,1.5,13558 LEFFERTS BOULEVARD QUEENS NY 11420
120,40366356,BLARNEY CASTLE,2018,1.0,20224 ROCKAWAY POINT BOULEVARD QUEENS NY 11697
121,40366361,THREE STAR RESTAURANT,2018,1.6666666666666667,1611 AVENUE U BROOKLYN NY 11229
123,40366381,DANGERFIELD'S NIGHT CLUB,2018,1.0,1118 1 AVENUE MANHATTAN NY 10065
124,40366396,DESMOND'S TAVERN,2018,3.0,433 PARK AVENUE SOUTH MANHATTAN NY 10016
126,40366425,NAOMI KOSHER PIZZA,2018,1.0,6828 MAIN STREET QUEENS NY 11367
128,40366471,ROLL-N-ROASTER,2018,1.5,2901 EMMONS AVENUE BROOKLYN NY 11235
130,40366487,BRENNAN & CARR,2018,1.0,3432 NOSTRAND AVENUE BROOKLYN NY 11229
132,40366497,THE PUNCH BOWL,2018,2.0,5820 BROADWAY BRONX NY 10463
134,40366543,JARDIN DE CHINA REST,2018,2.5,3737 JUNCTION BOULEVARD QUEENS NY 11368
135,40366549,IRISH COTTAGE,2018,1.0,10807 72 AVENUE QUEENS NY 11375
137,40366574,BLARNEY STONE,2018,1.0,11 TRINITY PLACE MANHATTAN NY 10006
139,40366586,SHIMONS KOSHER PIZZA,2018,1.0,7124 MAIN STREET QUEENS NY 11367
140,40366652,FASCATI'S PIZZERIA,2018,1.0,80 HENRY STREET BROOKLYN NY 11201
141,40366661,BABY BO'S CANTINA,2018,1.0,627 2 AVENUE MANHATTAN NY 10016
142,40366711,LI GRECI'S STAATEN RESTAURANT,2018,1.5,697 FOREST AVENUE STATEN ISLAND NY 10310
143,40366716,SHUN LEE PALACE RESTAURANT,2018,1.0,155 EAST   55 STREET MANHATTAN NY 10022
144,40366742,TAMAQUA,2018,2.0,84 EBONY COURT BROOKLYN NY 11229
145,40366812,CARA MIA,2018,1.0,22020 HILLSIDE AVENUE QUEENS NY 11427
146,40366833,IHOP,2018,1.0,4340 BOSTON ROAD BRONX NY 10475
147,40366857,MALONEY'S BAR,2018,2.0,8769 SUTPHIN BOULEVARD QUEENS NY 11435
149,40366879,LA FUSTA RESTAURANT,2018,2.0,8032 BAXTER AVENUE QUEENS NY 11373
150,40366928,RICHMOND COUNTY COUNTRY CLUB,2018,2.0,135 FLAGG PLACE STATEN ISLAND NY 10304
151,40366929,LITTLE BROWN JUG,2018,1.0,12402 JAMAICA AVENUE QUEENS NY 11418
