,index,ADDRESS,LOCATION,POINT
31,45,1372 BROADWAY MANHATTAN NY 10018,"1372, Broadway, Times Square, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10018, USA","(40.7523476, -73.9872394, 0.0)"
32,46,4933 BROADWAY MANHATTAN NY 10034,"4933, Broadway, Inwood, Manhattan, Manhattan Community Board 12, New York County, NYC, New York, 10034, USA","(40.8676771, -73.9217283, 0.0)"
33,48,16103 CROSSBAY BOULEVARD QUEENS NY 11414,"Crossbay Boulevard, Ozone Park, Queens County, NYC, New York, 11417, USA","(40.679922, -73.8447425, 0.0)"
34,49,2080 BROADWAY MANHATTAN NY 10023,"2080, Broadway, Upper West Side, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10023, USA","(40.7783061, -73.9816331, 0.0)"
35,50,1900 BROADWAY MANHATTAN NY 10023,"Bar Boulud, 1900, Broadway, Lincoln Square, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10023, USA","(40.7719194, -73.9818733, 0.0)"
36,51,3027 STRATTON STREET QUEENS NY 11354,"Stratton Street, Linden Hill, Queens, Queens County, NYC, New York, 11354, USA","(40.7689264, -73.834325, 0.0)"
37,55,123 MULBERRY STREET MANHATTAN NY 10013,"123, Mulberry Street, Five Points, Little Italy, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10013, USA","(40.7179401, -73.9981835, 0.0)"
38,56,180 PRINCE STREET MANHATTAN NY 10012,"Raoul's, 180, Prince Street, SoHo, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10012, USA","(40.7262443, -74.002053, 0.0)"
39,57,18925 UNION TURNPIKE QUEENS NY 11366,"Union Turnpike, Utopia, Queens, Queens County, NYC, New York, 11366, USA","(40.7249266, -73.7941972, 0.0)"
40,59,7147 KISSENA BOULEVARD QUEENS NY 11367,"Kissena Boulevard, Queens, Queens County, NYC, New York, 11367, USA","(40.7287631, -73.8152545, 0.0)"
41,63,33 UNIVERSITY PLACE MANHATTAN NY 10003,"Knickerbocker Bar & Grill, 33, University Place, Washington Square Village, Greenwich Village, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10003, USA","(40.7319768, -73.9942396, 0.0)"
42,64,126 CHAMBERS STREET MANHATTAN NY 10007,"Mudville 9, 126, Chambers Street, TriBeCa, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10007, USA","(40.7152236, -74.0088979, 0.0)"
43,65,846 EMPIRE BOULEVARD BROOKLYN NY 11213,"846, Empire Boulevard, Eastern Parkway, BK, Kings County, NYC, New York, 11213, USA","(40.6635790285714, -73.9354677714286, 0.0)"
44,66,151 UNION STREET BROOKLYN NY 11231,"151, Union Street, Columbia Street Waterfront District, Kings County, NYC, New York, 11231, USA","(40.6842145, -74.0018451722686, 0.0)"
45,67,359 WEST BROADWAY MANHATTAN NY 10013,"359, West Broadway, SoHo, Manhattan, Manhattan Community Board 2, New York County, NYC, New York, 10013, USA","(40.7230088, -74.0030657, 0.0)"
46,68,701 UTICA AVENUE BROOKLYN NY 11203,"701, Utica Avenue, Brooklyn Community Board 17 Neighborhoods, BK, Kings County, NYC, New York, 11203, USA","(40.656225826087, -73.9307535652174, 0.0)"
47,69,6132 SPRINGFIELD BOULEVARD QUEENS NY 11364,"Springfield Boulevard, Oakland Gardens, Queens, Queens County, NYC, New York, 11364, USA","(40.7521241, -73.7589702, 0.0)"
48,70,1134 MADISON AVENUE MANHATTAN NY 10028,"1134, Madison Avenue, Upper East Side, Manhattan, Manhattan Community Board 8, New York County, NYC, New York, 10028, USA","(40.7798352, -73.9598595342002, 0.0)"
