,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF CRITICAL VIOLATIONS,ADDRESS
1,30112340,WENDY'S,2019,1.0,469 FLATBUSH AVENUE BROOKLYN NY 11225
5,40356483,WILKEN'S FINE FOOD,2019,1.0,7114 AVENUE U BROOKLYN NY 11234
9,40359705,NATHAN'S FAMOUS,2019,1.0,1310 SURF AVENUE BROOKLYN NY 11224
16,40362274,ANGELIKA FILM CENTER,2019,1.0,18 WEST HOUSTON STREET MANHATTAN NY 10012
18,40362432,HO MEI RESTAURANT,2019,2.0,10305 37 AVENUE QUEENS NY 11368
20,40362715,THE COUNTRY CAFE,2019,1.0,60 WALL STREET MANHATTAN NY 10005
24,40363427,BAGELS N BUNS,2019,1.0,2491 VICTORY BOULEVARD STATEN ISLAND NY 10314
35,40364299,B & M HOT BAGEL & GROCERY,2019,1.0,203 GIFFORDS LANE STATEN ISLAND NY 10308
40,40364362,21 CLUB,2019,2.0,21 WEST   52 STREET MANHATTAN NY 10019
48,40364449,GOTTSCHEER HALL,2019,1.0,657 FAIRVIEW AVENUE QUEENS NY 11385
52,40364572,DONOHUE'S STEAK HOUSE,2019,1.0,845 LEXINGTON AVENUE MANHATTAN NY 10065
54,40364576,TOUT VA BIEN,2019,2.0,311 WEST   51 STREET MANHATTAN NY 10019
56,40364581,JUNIOR'S,2019,1.0,386 FLATBUSH AVENUE EXTENSION BROOKLYN NY 11201
58,40364668,MARCHIS RESTAURANT,2019,1.0,251 EAST   31 STREET MANHATTAN NY 10016
60,40364681,TOWNE CAFE,2019,1.0,2602 EAST   15 STREET BROOKLYN NY 11235
65,40364920,RIZZO'S FINE PIZZA,2019,1.0,3013 STEINWAY STREET QUEENS NY 11103
78,40365280,COMO PIZZA,2019,2.0,4035 BROADWAY MANHATTAN NY 10032
83,40365361,THE PRINCETON CLUB,2019,1.0,15 WEST   43 STREET MANHATTAN NY 10036
87,40365499,YANKEE TAVERN,2019,2.0,72 EAST  161 STREET BRONX NY 10451
91,40365577,V & T RESTAURANT,2019,5.0,1024 AMSTERDAM AVENUE MANHATTAN NY 10025
93,40365627,JAHN'S RESTAURANT,2019,1.0,8104 37 AVENUE QUEENS NY 11372
95,40365632,J&V FAMOUS PIZZA,2019,1.0,6322 18 AVENUE BROOKLYN NY 11204
98,40365789,PATSY'S ITALIAN RESTAURANT,2019,1.0,236 WEST   56 STREET MANHATTAN NY 10019
