,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF CRITICAL VIOLATIONS,ADDRESS
100,40365841,PARKSIDE RESTAURANT,2019,1.0,10701 CORONA AVENUE QUEENS NY 11368
105,40365904,MEE SUM CAFE,2019,1.0,26 PELL STREET MANHATTAN NY 10013
109,40365972,BLARNEY BAR,2019,2.0,14609 JAMAICA AVENUE QUEENS NY 11435
110,40366002,MARGHERITA PIZZA,2019,1.0,16304 JAMAICA AVENUE QUEENS NY 11432
113,40366109,FIFTH AVENUE BINGO,2019,1.0,416 5 AVENUE BROOKLYN NY 11215
115,40366132,DENINO'S PIZZERIA TAVERN,2019,1.0,524 PORT RICHMOND AVENUE STATEN ISLAND NY 10302
122,40366361,THREE STAR RESTAURANT,2019,1.0,1611 AVENUE U BROOKLYN NY 11229
125,40366396,DESMOND'S TAVERN,2019,1.0,433 PARK AVENUE SOUTH MANHATTAN NY 10016
127,40366425,NAOMI KOSHER PIZZA,2019,1.0,6828 MAIN STREET QUEENS NY 11367
129,40366471,ROLL-N-ROASTER,2019,2.0,2901 EMMONS AVENUE BROOKLYN NY 11235
131,40366487,BRENNAN & CARR,2019,1.0,3432 NOSTRAND AVENUE BROOKLYN NY 11229
133,40366497,THE PUNCH BOWL,2019,1.0,5820 BROADWAY BRONX NY 10463
136,40366549,IRISH COTTAGE,2019,1.0,10807 72 AVENUE QUEENS NY 11375
138,40366574,BLARNEY STONE,2019,1.0,11 TRINITY PLACE MANHATTAN NY 10006
148,40366857,MALONEY'S BAR,2019,1.0,8769 SUTPHIN BOULEVARD QUEENS NY 11435
153,40366938,LULU'S COFFEE SHOP,2019,5.0,1191 CASTLE HILL AVENUE BRONX NY 10462
156,40366993,FINNEGAN'S WAKE PUB,2019,1.0,1361 FIRST AVENUE MANHATTAN NY 10021
162,40367189,BROOME STREET BAR,2019,2.0,363 WEST BROADWAY MANHATTAN NY 10013
164,40367232,O'HANLON'S PUB,2019,1.0,2257 31 STREET QUEENS NY 11105
166,40367241,JG MELON RESTAURANT,2019,1.0,1291 3 AVENUE MANHATTAN NY 10021
168,40367278,JACK'S PIZZA & PASTA,2019,2.0,21249 26 AVENUE QUEENS NY 11360
170,40367338,TAP ROOM,2019,2.0,180 CENTRAL PARK SOUTH MANHATTAN NY 10019
177,40367534,MR BROADWAY KOSHER RESTAURANT,2019,1.0,1372 BROADWAY MANHATTAN NY 10018
180,40367677,CAPITOL RESTAURANT,2019,1.0,4933 BROADWAY MANHATTAN NY 10034
182,40367715,LA BONNE SOUPE BISTRO,2019,1.0,48 WEST   55 STREET MANHATTAN NY 10019
184,40367749,LENNY'S CLAM BAR,2019,1.0,16103 CROSSBAY BOULEVARD QUEENS NY 11414
186,40367766,GRAY'S PAPAYA,2019,1.0,2080 BROADWAY MANHATTAN NY 10023
190,40367841,CAFE FIORELLO,2019,1.0,1900 BROADWAY MANHATTAN NY 10023
193,40367870,AMORE PIZZERIA & RESTAURANT,2019,1.0,3027 STRATTON STREET QUEENS NY 11354
203,40368271,CHERRY TAVERN,2019,2.0,441 EAST    6 STREET MANHATTAN NY 10009
206,40368313,RED FLAME DINER,2019,1.0,67 WEST   44 STREET MANHATTAN NY 10036
209,40368374,JIMMY'S CORNER,2019,1.0,140 WEST   44 STREET MANHATTAN NY 10036
212,40368555,IL CORTILE RESTAURANT,2019,1.0,123 MULBERRY STREET MANHATTAN NY 10013
217,40368752,RAOULS,2019,1.0,180 PRINCE STREET MANHATTAN NY 10012
220,40368809,P.J.' S,2019,1.0,18925 UNION TURNPIKE QUEENS NY 11366
222,40368824,DOUBLES CLUB,2019,1.0,783 5 AVENUE MANHATTAN NY 10022
225,40369012,VALENTINO'S PIZZA,2019,1.0,7147 KISSENA BOULEVARD QUEENS NY 11367
233,40369165,REIF'S TAVERN,2019,1.0,302 EAST   92 STREET MANHATTAN NY 10128
238,40369418,CAFFE REGGIO,2019,1.0,119 MAC DOUGAL STREET MANHATTAN NY 10012
240,40369461,CAFE UN DEUX TROIS,2019,2.0,123 WEST   44 STREET MANHATTAN NY 10036
243,40369521,KNICKERBOCKER BAR & GRILL,2019,2.0,33 UNIVERSITY PLACE MANHATTAN NY 10003
247,40369619,MUDVILLE SALOON,2019,1.0,126 CHAMBERS STREET MANHATTAN NY 10007
249,40369667,WHITE CASTLE,2019,1.0,846 EMPIRE BOULEVARD BROOKLYN NY 11213
252,40369716,FERDINANDO'S RESTAURANT,2019,1.0,151 UNION STREET BROOKLYN NY 11231
255,40369775,THE CUPPING ROOM,2019,2.0,359 WEST BROADWAY MANHATTAN NY 10013
256,40369782,MCDONALD'S,2019,1.0,701 UTICA AVENUE BROOKLYN NY 11203
258,40369849,GINO'S PIZZERIA,2019,1.0,6132 SPRINGFIELD BOULEVARD QUEENS NY 11364
261,40369940,THE NEW AMITY RESTAURANT,2019,1.0,1134 MADISON AVENUE MANHATTAN NY 10028
265,40369983,THE DART SPORTS BAR,2019,1.0,8318 PARSONS BOULEVARD QUEENS NY 11432
266,40370015,BAMONTE'S RESTAURANT,2019,1.0,32 WITHERS ST BROOKLYN NY 11211
273,40370436,ROSSINI'S,2019,1.0,108 EAST   38 STREET MANHATTAN NY 10016
275,40370463,THREE GUY'S RESTAURANT,2019,1.0,960 MADISON AVENUE MANHATTAN NY 10021
277,40370507,THE PLAYERS,2019,3.0,16 GRAMERCY PARK SOUTH MANHATTAN NY 10003
279,40370638,TJK CAFE & RESTAURANT,2019,1.0,24904 HORACE HARDING BOULEVARD QUEENS NY 11362
282,40370781,MCDONALD'S,2019,2.0,16011 WILLETS POINT BOULEVARD QUEENS NY 11357
285,40370916,BURGER KING,2019,1.0,25810 HILLSIDE AVENUE QUEENS NY 11004
289,40370994,MAMMA LUCIA,2019,1.0,1701 FOSTER AVENUE BROOKLYN NY 11230
292,40371614,LA BARAKA RESTAURANT,2019,1.0,25509 NORTHERN BOULEVARD QUEENS NY 11362
294,40371718,ZAFI'S LUNCHEONETTE,2019,2.0,500 GRAND STREET MANHATTAN NY 10002
299,40371988,NORTH SHORE DINER,2019,1.0,19652 NORTHERN BLVD QUEENS NY 11358
302,40372196,MCDONALD'S,2019,1.0,3660 EAST TREMONT AVENUE BRONX NY 10465
306,40372417,DON FILIPPO RESTAURANT,2019,1.0,1133 LEXINGTON AVENUE MANHATTAN NY 10075
311,40372466,MURALS ON 54/RANDOLPH'S,2019,1.0,65 WEST   54 STREET MANHATTAN NY 10019
313,40372618,BURGER KING,2019,1.0,15405 ROCKAWAY BOULEVARD QUEENS NY 11434
317,40372971,RACQUET & TENNIS CLUB,2019,1.0,370 PARK AVENUE MANHATTAN NY 10022
318,40373113,ASTRO RESTAURANT,2019,2.0,101 WEST   55 STREET MANHATTAN NY 10019
320,40373118,GOLDEN DOVE DINER,2019,2.0,3281 RICHMOND AVENUE STATEN ISLAND NY 10312
324,40373462,VILLA BERULIA,2019,1.0,107 EAST   34 STREET MANHATTAN NY 10016
328,40373794,READY PENNY INN,2019,1.0,3707 73 STREET QUEENS NY 11372
335,40373938,IHOP,2019,3.0,5655 BROADWAY BRONX NY 10463
338,40374131,PRIMAVERA PIZZA & PASTA,2019,1.0,1005 2 AVENUE MANHATTAN NY 10022
342,40374266,KASTELI II,2019,1.0,372 8 AVENUE MANHATTAN NY 10001
345,40374460,MCDONALD'S,2019,1.0,7269 KISSENA BOULEVARD QUEENS NY 11367
346,40374814,EUROPA BAR,2019,1.0,9402 SUTPHIN BOULEVARD QUEENS NY 11435
350,40375286,LA VILLA DE PIZZA & RESTAURANT,2019,1.0,8207 153 AVENUE QUEENS NY 11414
352,40375369,OZONE PIZZERIA,2019,1.0,9615 LIBERTY AVENUE QUEENS NY 11417
359,40375929,VILLA FIORITA,2019,1.0,7720 18 AVENUE BROOKLYN NY 11214
361,40376029,MOMS LUNCHEONETTE,2019,1.0,10102 103 AVENUE QUEENS NY 11417
366,40376290,KING'S ARMS RESTAURANT,2019,1.0,500 FOREST AVENUE STATEN ISLAND NY 10310
368,40376493,THE WATER CLUB,2019,1.0,500 EAST   30 STREET MANHATTAN NY 10016
370,40376495,MARCO POLO RISTORANTE,2019,1.0,345 COURT STREET BROOKLYN NY 11231
375,40376735,PJ CARNEY'S,2019,2.0,906 7 AVENUE MANHATTAN NY 10019
378,40377124,JP'S WATERSIDE RESTAURANT,2019,1.0,703 MINNIEFORD AVE BRONX NY 10464
380,40377243,JOHN & JOE PIZZERIA & RESTAURANT,2019,1.0,749 LYDIG AVENUE BRONX NY 10462
382,40377262,SUNSET PIZZERIA,2019,2.0,645 ROSSVILLE AVENUE STATEN ISLAND NY 10309
384,40377294,MCDONALD'S,2019,1.0,7002 COOPER AVENUE QUEENS NY 11385
388,40377506,VESUVIO RESTAURANT & PIZZA,2019,1.0,7303 3 AVENUE BROOKLYN NY 11209
390,40377560,WESTERN BAKERY,2019,1.0,22813 MERRICK BOULEVARD QUEENS NY 11413
392,40377630,JOHNS CAFE & RESTAURANT,2019,2.0,823 SECOND AVENUE MANHATTAN NY 10017
394,40377789,CAFE LUXEMBOURG,2019,1.0,200 WEST   70 STREET MANHATTAN NY 10023
396,40378035,"DUNKIN' DONUTS, BASKIN ROBBINS",2019,1.0,15367 HORACE HARDING EXPRESSWAY QUEENS NY 11367
397,40378136,BROADWAY RESTAURANT,2019,1.0,2664 BROADWAY MANHATTAN NY 10025
403,40378719,THE CLUBHOUSE,2019,1.0,6121 FRESH POND ROAD QUEENS NY 11379
404,40378774,FAME DINER,2019,1.0,6967 GRAND AVENUE QUEENS NY 11378
410,40379149,MONTE'S,2019,2.0,97 MACDOUGAL STREET MANHATTAN NY 10012
418,40379890,O'HARA'S,2019,1.0,120 CEDAR STREET MANHATTAN NY 10006
421,40379920,E.A.T. CAFE,2019,2.0,1064 MADISON AVENUE MANHATTAN NY 10028
424,40380044,REX MANOR,2019,2.0,1100 60 STREET BROOKLYN NY 11219
428,40380422,CARLOS PIZZA,2019,1.0,7402 METROPOLITAN AVENUE QUEENS NY 11379
430,40380432,THE BITTER END,2019,2.0,147 BLEECKER STREET MANHATTAN NY 10012
435,40380520,ANNAM BRAHAM RESTAURANT,2019,1.0,8443 164 STREET QUEENS NY 11432
436,40380592,MONTERO BAR & GRILL,2019,1.0,73 ATLANTIC AVENUE BROOKLYN NY 11201
437,40380628,PISA PIZZERIA,2019,1.0,6568 MYRTLE AVENUE QUEENS NY 11385
439,40380657,PETE'S CLAM STOP,2019,1.0,1320 SURF AVENUE BROOKLYN NY 11224
444,40381210,SYMPOSIUM GREEK RESTAURANT,2019,2.0,544 WEST  113 STREET MANHATTAN NY 10025
451,40381811,DUFFY'S,2019,2.0,650 FOREST AVENUE STATEN ISLAND NY 10310
455,40382802,PARNELL'S PUB,2019,2.0,350 EAST   53 STREET MANHATTAN NY 10022
457,40382877,OCEAN DRAGON RESTAURANT,2019,2.0,877 10 AVENUE MANHATTAN NY 10019
459,40383003,COBBLESTONE PUB,2019,1.0,11718 QUEENS BOULEVARD QUEENS NY 11375
463,40383147,IL TOSCANO RISTORANTE,2019,1.0,4205 235 STREET QUEENS NY 11363
468,40383496,THE GROTTO,2019,1.0,69 NEW STREET MANHATTAN NY 10004
471,40383609,REAL MADRID RESTAURANT,2019,2.0,2073 FOREST AVENUE STATEN ISLAND NY 10303
474,40383819,LAST STOP (AI & JI) RESTAURANT,2019,1.0,5977 BROADWAY BRONX NY 10471
479,40384115,PHIL & SONS RESTAURANT & PIZZERIA,2019,1.0,5729 MAIN STREET QUEENS NY 11355
481,40384222,PJ MORANS,2019,2.0,3 EAST   48 STREET MANHATTAN NY 10017
484,40384340,FRIEND OF A FARMER,2019,1.0,77 IRVING PLACE MANHATTAN NY 10003
489,40384528,VESELKA RESTAURANT,2019,1.0,144 SECOND AVENUE MANHATTAN NY 10003
495,40384920,VICTORY SWEET SHOP,2019,2.0,2169 STEINWAY STREET QUEENS NY 11105
497,40385157,PANGEA RESTAURANT,2019,1.0,178 2 AVENUE MANHATTAN NY 10003
500,40385461,CLOISTER CAFE,2019,1.0,238 EAST    9 STREET MANHATTAN NY 10003
503,40385555,200 FIFTH AVENUE RESTAURANT & SPORTS BAR,2019,1.0,200 5 AVENUE BROOKLYN NY 11217
505,40385580,LATTANZI,2019,1.0,361 WEST   46 STREET MANHATTAN NY 10036
507,40385584,PIZZA GARDEN,2019,1.0,17101 NORTHERN BOULEVARD QUEENS NY 11358
512,40385693,SALUMERIA BEILLESE/ BIRICCHINO REST,2019,2.0,378 8 AVENUE MANHATTAN NY 10001
516,40385873,RAY'S PIZZA,2019,1.0,829-831 7 AVENUE MANHATTAN NY 10019
519,40385974,DAKOTA DINER,2019,1.0,921 RICHMOND AVENUE STATEN ISLAND NY 10314
521,40386001,PRIMOLA RESTAURANT,2019,1.0,1226 SECOND AVENUE MANHATTAN NY 10065
525,40386147,JACKS FIRE DEPARTMENT,2019,3.0,3946 SKILLMAN AVENUE QUEENS NY 11104
528,40386303,PIZZA PLUS,2019,1.0,359 SEVENTH AVENUE BROOKLYN NY 11215
534,40386508,NEW YORK UNIVERSITY - LAW SCHOOL,2019,1.0,110 WEST THIRD STREET MANHATTAN NY 10012
537,40386556,WESTSIDE RESTAURANT,2019,1.0,2020 BROADWAY MANHATTAN NY 10023
539,40386569,SAL AND CARMINE PIZZA,2019,1.0,2671 BROADWAY MANHATTAN NY 10025
542,40386612,WHITE CASTLE,2019,1.0,21317 NORTHERN BOULEVARD QUEENS NY 11361
545,40386675,COPPER KETTLE,2019,1.0,5024 SKILLMAN AVENUE QUEENS NY 11377
548,40386747,ARNO RISTORANTE,2019,1.0,141 WEST   38 STREET MANHATTAN NY 10018
550,40386793,SCIENCE CAFE (QUEENSBOROUGH  COMMUNITY COLLEGE),2019,2.0,22205 56 AVENUE QUEENS NY 11364
552,40386976,LUPE'S EAST L.A. KITCHEN,2019,1.0,110 AVENUE OF THE AMERICAS MANHATTAN NY 10013
555,40387027,LA CASA DEL POLLO RESTAURANT,2019,1.0,8707 ROOSEVELT AVENUE QUEENS NY 11372
557,40387162,DA UMBERTO RESTAURANT,2019,1.0,107 WEST   17 STREET MANHATTAN NY 10011
561,40387243,JIMMY MAX RESTAURANT,2019,4.0,280 WATCHOGUE ROAD STATEN ISLAND NY 10314
563,40387277,PECULIAR PUB,2019,2.0,145 BLEECKER STREET MANHATTAN NY 10012
566,40387399,ARTURO'S PIZZA,2019,2.0,5189A BROADWAY BRONX NY 10463
567,40387528,WALNUT BUS STOP,2019,1.0,881 EAST  134 STREET BRONX NY 10454
571,40387825,GREEN PAVILION RESTAURANT & SPORTS LOUNGE,2019,1.0,4307 18 AVENUE BROOKLYN NY 11218
573,40387861,WESTWAY DINER,2019,2.0,614 9 AVENUE MANHATTAN NY 10036
580,40388225,HOLLAND BAR,2019,3.0,532 9 AVENUE MANHATTAN NY 10018
583,40388253,THE PIZZA PLACE,2019,1.0,1665 METROPOLITAN AVENUE BRONX NY 10462
585,40388260,AMNON KOSHER PIZZA,2019,1.0,4814 13 AVENUE BROOKLYN NY 11219
587,40388386,LEE'S VILLA CHINESE RESTAURANT,2019,1.0,152 LAWRENCE STREET BROOKLYN NY 11201
593,40388672,NECTAR OF 82ND STREET,2019,2.0,1090 MADISON AVENUE MANHATTAN NY 10028
604,40389011,BAGEL CAFE,2019,1.0,2214 BARTOW AVE BRONX NY 10475
608,40389138,RIVOLI PIZZA RESTAURANT,2019,2.0,176 7 AVENUE SOUTH MANHATTAN NY 10014
610,40389175,ROYAL PIZZA,2019,1.0,945 PENNSYLVANIA AVENUE BROOKLYN NY 11207
612,40389243,DA TOMMASSO,2019,1.0,903 EIGHTH AVENUE MANHATTAN NY 10019
613,40389356,TOM'S RESTAURANT,2019,1.0,2880 BROADWAY MANHATTAN NY 10025
623,40389903,QUEEN RESTAURANT,2019,1.0,84 COURT STREET BROOKLYN NY 11201
626,40389994,POMODORO RISTORANTE,2019,2.0,51 SPRING STREET MANHATTAN NY 10012
628,40390163,5 BURRO CAFE,2019,1.0,7205 AUSTIN STREET QUEENS NY 11375
637,40390409,THE FAMOUS JIMBO'S HAMBURGER PALACE,2019,3.0,1345 AMSTERDAM AVENUE MANHATTAN NY 10027
639,40390547,STAGE DOOR DELI,2019,1.0,26 VESEY STREET MANHATTAN NY 10007
641,40390653,KUM KAU KITCHEN,2019,2.0,463 MYRTLE AVENUE BROOKLYN NY 11205
643,40390696,HAN BAT RESTAURANT,2019,1.0,53 WEST   35 STREET MANHATTAN NY 10001
648,40390902,SCOTTY'S DINER,2019,1.0,336 LEXINGTON AVENUE MANHATTAN NY 10016
654,40391086,A & S PIZZERIA,2019,1.0,87 STUYVESANT PLACE STATEN ISLAND NY 10301
657,40391143,LITTLE PIE COMPANY,2019,1.0,424 WEST   43 STREET MANHATTAN NY 10036
663,40391284,BAR ASSOCIATION OF THE CITY OF NY KITCHEN,2019,2.0,42 WEST   44 STREET MANHATTAN NY 10036
666,40391350,VACCARO'S PIZZERIA & TRATTORIA,2019,1.0,8802 LITTLE NECK PARKWAY QUEENS NY 11001
667,40391417,THE BEEKMAN,2019,1.0,15 BEEKMAN STREET MANHATTAN NY 10038
672,40391695,ORSO,2019,1.0,322 WEST   46 STREET MANHATTAN NY 10036
676,40391745,LILY'S BAR @ ROGER SMITH HOTEL,2019,1.0,501 LEXINGTON AVENUE MANHATTAN NY 10017
678,40391808,IHOP,2019,1.0,25402 ROCKAWAY BOULEVARD QUEENS NY 11422
680,40391913,THE NIPPON CLUB,2019,1.0,145 WEST   57 STREET MANHATTAN NY 10019
683,40392256,MCDONALD'S,2019,1.0,4018 MAIN STREET QUEENS NY 11354
685,40392285,CHARLIE'S CORNER RESTAURANT & DELI,2019,1.0,537 PARK AVENUE BROOKLYN NY 11205
687,40392313,CAFE BELLA VITA,2019,1.0,1919 HYLAN BOULEVARD STATEN ISLAND NY 10305
689,40392339,ABSOLUTE BAGELS,2019,1.0,2788 BROADWAY MANHATTAN NY 10025
691,40392384,B.Q.E. CAFE BILLIARDS,2019,1.0,7002 34 AVENUE QUEENS NY 11372
692,40392388,TAL BAGEL,2019,2.0,333 EAST   86 STREET MANHATTAN NY 10028
694,40392410,DUNKIN' DONUTS,2019,1.0,8777 PARSONS BOULEVARD QUEENS NY 11432
699,40392721,NUEVA VILLA CHINA RESTAURANT,2019,2.0,3910 103 STREET QUEENS NY 11368
701,40392724,JAIYA THAI ORIENTAL RESTAURANT,2019,3.0,396 THIRD AVENUE MANHATTAN NY 10016
702,40392766,BERGEN BEACH CAFE,2019,1.0,7112 AVENUE U BROOKLYN NY 11234
710,40393051,FRIEND'S TAVERN,2019,1.0,7811 ROOSEVELT AVENUE QUEENS NY 11372
716,40393303,DEMARCHELIER RESTAURANT,2019,1.0,50 EAST   86 STREET MANHATTAN NY 10028
722,40393488,BELLA NAPOLI,2019,4.0,130 MADISON AVENUE MANHATTAN NY 10016
725,40393519,DOWN THE HATCH,2019,1.0,175 WEST    4 STREET MANHATTAN NY 10014
728,40393558,FITZGERALD'S PUB,2019,1.0,336 THIRD AVENUE MANHATTAN NY 10010
730,40393561,FAROS RESTAURANT,2019,1.0,95 CHURCH AVENUE BROOKLYN NY 11218
731,40393570,PASTA LOVERS TRATTORIA,2019,1.0,142 WEST   49 STREET MANHATTAN NY 10019
733,40393591,DON GIOVANNI RESTAURANT,2019,1.0,214 10 AVENUE MANHATTAN NY 10011
735,40393679,LOS TOLDOS RESTAURANT,2019,2.0,8401 NORTHERN BOULEVARD QUEENS NY 11372
737,40393688,EL MOLINO ROJO RESTAURANT,2019,2.0,101 EAST  161 STREET BRONX NY 10451
743,40393787,DUNKIN' DONUTS,2019,2.0,5615 MYRTLE AVENUE QUEENS NY 11385
747,40393905,GRANDSTAND TAVERN,2019,1.0,8535 GRAND AVENUE QUEENS NY 11373
752,40394028,SALVI RESTAURANT,2019,1.0,4220 QUENTIN ROAD BROOKLYN NY 11234
754,40394030,TIBBETT DINER,2019,2.0,3033 TIBBETT AVE BRONX NY 10463
756,40394037,WHITE CASTLE,2019,1.0,17528 HILLSIDE AVENUE QUEENS NY 11432
758,40394054,GARDEN OF EAT-IN,2019,1.0,1416 AVENUE J BROOKLYN NY 11230
761,40394110,CRONIN & PHELAN PUB & RESTAURANT,2019,1.0,3814 BROADWAY QUEENS NY 11103
766,40394357,ABITINO'S PIZZA,2019,5.0,733 2 AVENUE MANHATTAN NY 10016
770,40394518,MATEUS RESTAURANT,2019,1.0,22205 JAMAICA AVENUE QUEENS NY 11428
772,40394555,LUIGI'S RESTAURANT,2019,1.0,26521 UNION TURNPIKE QUEENS NY 11040
775,40394600,THE RESTAURANT,2019,2.0,8605 ROCKAWAY BEACH BOULEVARD QUEENS NY 11693
778,40394701,THE END ZONE BAR,2019,1.0,14944 14 AVENUE QUEENS NY 11357
780,40394749,FINE & SCHAPIRO,2019,1.0,138 WEST   72 STREET MANHATTAN NY 10023
782,40394761,E & L BAKERY & COFFEE SHOP,2019,1.0,4202 WHITE PLAINS ROAD BRONX NY 10466
791,40395079,RUDY'S BAR & Grill,2019,1.0,627 9 AVENUE MANHATTAN NY 10036
793,40395087,AUSTINS ALE HOUSE,2019,1.0,8270 AUSTIN STREET QUEENS NY 11415
795,40395093,COYOTE UGLY,2019,1.0,153 FIRST AVENUE MANHATTAN NY 10003
797,40395110,PRIMA PASTA & CAFE,2019,1.0,16150 CROSSBAY BOULEVARD QUEENS NY 11414
800,40395211,THE GRAY MARE,2019,1.0,61 2 AVENUE MANHATTAN NY 10003
803,40395239,CAFE CARDINI,2019,1.0,27120 UNION TURNPIKE QUEENS NY 11040
805,40395298,T-BONE DINER,2019,1.0,10748 QUEENS BOULEVARD QUEENS NY 11375
807,40395310,SUNRISE COFFEE SHOP,2019,1.0,4504 PARSONS BOULEVARD QUEENS NY 11355
809,40395313,MY THREE SONS RESTAURANT,2019,1.0,7121 FT HAMILTON PARKWAY BROOKLYN NY 11228
813,40395366,MIKE'S DONUTS,2019,1.0,6822 5 AVENUE BROOKLYN NY 11220
815,40395375,ILDA'S PLACE II,2019,1.0,8122 BAXTER AVENUE QUEENS NY 11373
823,40395568,FRANK'S PLACE,2019,1.0,365 SMITH STREET BROOKLYN NY 11231
825,40395597,ELMHURST FAMOUS PIZZA,2019,1.0,8307 BROADWAY QUEENS NY 11373
826,40395653,MCDONALD'S,2019,2.0,300 EAST  204 STREET BRONX NY 10467
829,40395774,CARUSO PIZZERIA & RESTAURANT,2019,1.0,150 SMITH STREET BROOKLYN NY 11201
833,40395865,PIZZA NOSH,2019,1.0,2807 NOSTRAND AVENUE BROOKLYN NY 11229
835,40395872,CARIDAD RESTAURANT,2019,2.0,3533 BROADWAY MANHATTAN NY 10031
836,40395882,WHITE CASTLE,2019,1.0,9808 ROCKAWAY BOULEVARD QUEENS NY 11417
838,40395892,THE STUMBLE INN,2019,2.0,1454 2 AVENUE MANHATTAN NY 10021
841,40395910,MCDONALD'S,2019,1.0,25001 NORTHERN BOULEVARD QUEENS NY 11362
843,40395921,GOLDEN PIZZA,2019,1.0,504 EAST  138 STREET BRONX NY 10454
845,40395935,MCDONALD'S,2019,1.0,1660 RICHMOND AVENUE STATEN ISLAND NY 10314
848,40396020,LA CONTENTA OESTE,2019,1.0,78 WEST   11 STREET MANHATTAN NY 10011
856,40396381,LA DINASTIA,2019,3.0,4059 BROADWAY MANHATTAN NY 10032
860,40396433,CHRISTINA'S RESTAURANT,2019,1.0,853 MANHATTAN AVENUE BROOKLYN NY 11222
862,40396445,POLLOS A LA BRASA MARIO,2019,1.0,8101 ROOSEVELT AVENUE QUEENS NY 11372
864,40396464,ESS-A-BAGEL,2019,1.0,831 THIRD AVENUE MANHATTAN NY 10022
867,40396494,CORNER CAFE AND BAKERY,2019,1.0,1645-1651 THIRD AVENUE MANHATTAN NY 10128
870,40396521,TEE DEE'S TAVERN,2019,1.0,6431 COOPER AVENUE QUEENS NY 11385
875,40396596,NEW WAVE CAFE & RESTAURANT,2019,1.0,2210 BROADWAY MANHATTAN NY 10024
881,40396927,MANHATTAN ESPRESSO,2019,1.0,146 EAST   49 STREET MANHATTAN NY 10017
885,40397189,BAGEL BOB'S,2019,1.0,51 UNIVERSITY PLACE MANHATTAN NY 10003
887,40397190,FRANKIE BOY'S PIZZA & SALAD,2019,4.0,1367 BROADWAY MANHATTAN NY 10018
889,40397243,CAFFE GRAZIE,2019,1.0,26 EAST   84 STREET MANHATTAN NY 10028
898,40397624,LE MIRAGE CAFE,2019,1.0,20 WEST   43 STREET MANHATTAN NY 10036
900,40397626,JENTANA'S PIZZA,2019,1.0,5102 FT HAMILTON PARKWAY BROOKLYN NY 11219
903,40397687,USAGI,2019,2.0,320 EAST   49 STREET MANHATTAN NY 10017
905,40397700,THE MERCURY LOUNGE,2019,1.0,217 EAST HOUSTON STREET MANHATTAN NY 10002
915,40397916,CATERINA'S PIZZERIA,2019,1.0,907 LIVONIA AVENUE BROOKLYN NY 11207
916,40398045,MIKES PIZZA,2019,3.0,415 SECOND AVENUE MANHATTAN NY 10010
927,40398549,PERRY'S RESTAURANT,2019,1.0,3482 NOSTRAND AVENUE BROOKLYN NY 11229
929,40398561,TOM AND JERRY BAR,2019,1.0,288 ELIZABETH STREET MANHATTAN NY 10012
939,40398811,RICK'S CABARET,2019,1.0,50 WEST   33 STREET MANHATTAN NY 10001
