,ID,RESTAURANT NAME,BOROUGH,BUILDING,STREET,ZIPCODE,INSPECTION YEAR,GRADE,NUMBER OF CRITICAL VIOLATIONS
85,40365472,SPAIN RESTAURANT & BAR,MANHATTAN,113,WEST   13 STREET,10011,2018,0,1.5
86,40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,2018,0,2.0
87,40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,2019,0,2.0
88,40365525,DONUT PUB,MANHATTAN,203,WEST   14 STREET,10011,2018,0,1.0
89,40365546,REBEN LUNCHEONETTE,BROOKLYN,229,HAVEMEYER STREET,11211,2018,0,1.5
90,40365577,V & T RESTAURANT,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2018,0,1.0
91,40365577,V & T RESTAURANT,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2019,0,5.0
92,40365627,JAHN'S RESTAURANT,QUEENS,8104,37 AVENUE,11372,2018,0,1.0
93,40365627,JAHN'S RESTAURANT,QUEENS,8104,37 AVENUE,11372,2019,0,1.0
94,40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE,11204,2018,0,1.0
95,40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE,11204,2019,0,1.0
96,40365644,JOE ALLEN RESTAURANT,MANHATTAN,326,WEST   46 STREET,10036,2018,0,1.5
97,40365784,GARGIULO'S RESTAURANT,BROOKLYN,2911,WEST   15 STREET,11224,2018,0,1.5
98,40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,236,WEST   56 STREET,10019,2019,0,1.0
99,40365841,PARKSIDE RESTAURANT,QUEENS,10701,CORONA AVENUE,11368,2018,0,1.0
