,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF NON-CRITICAL VIOLATIONS,ADDRESS
78,40365264,LA GRENOUILLE,2018,2.0,3 EAST   52 STREET MANHATTAN NY 10022
80,40365288,KEATS RESTAURANT,2018,1.0,842 2 AVENUE MANHATTAN NY 10017
81,40365348,PANCHITO'S,2018,2.0,103 MACDOUGAL STREET MANHATTAN NY 10012
82,40365355,NEW CORNER,2018,2.0,7201 8 AVENUE BROOKLYN NY 11228
83,40365361,THE PRINCETON CLUB,2018,2.0,15 WEST   43 STREET MANHATTAN NY 10036
84,40365387,ARTURO'S,2018,1.5,106 WEST HOUSTON STREET MANHATTAN NY 10012
85,40365472,SPAIN RESTAURANT & BAR,2018,2.5,113 WEST   13 STREET MANHATTAN NY 10011
86,40365499,YANKEE TAVERN,2018,1.0,72 EAST  161 STREET BRONX NY 10451
88,40365525,DONUT PUB,2018,2.0,203 WEST   14 STREET MANHATTAN NY 10011
89,40365546,REBEN LUNCHEONETTE,2018,1.0,229 HAVEMEYER STREET BROOKLYN NY 11211
90,40365577,V & T RESTAURANT,2018,2.0,1024 AMSTERDAM AVENUE MANHATTAN NY 10025
92,40365627,JAHN'S RESTAURANT,2018,2.0,8104 37 AVENUE QUEENS NY 11372
94,40365632,J&V FAMOUS PIZZA,2018,1.0,6322 18 AVENUE BROOKLYN NY 11204
95,40365644,JOE ALLEN RESTAURANT,2018,1.0,326 WEST   46 STREET MANHATTAN NY 10036
96,40365784,GARGIULO'S RESTAURANT,2018,2.0,2911 WEST   15 STREET BROOKLYN NY 11224
97,40365789,PATSY'S ITALIAN RESTAURANT,2018,2.0,236 WEST   56 STREET MANHATTAN NY 10019
99,40365841,PARKSIDE RESTAURANT,2018,2.0,10701 CORONA AVENUE QUEENS NY 11368
101,40365844,LAVELLE'S ADMIRAL'S CLUB,2018,1.0,4515 BROADWAY QUEENS NY 11103
102,40365871,NEARY'S PUB,2018,3.0,358 EAST   57 STREET MANHATTAN NY 10022
103,40365882,NEW YORK PIZZA SUPREMA,2018,1.5,413 8 AVENUE MANHATTAN NY 10001
104,40365904,MEE SUM CAFE,2018,1.0,26 PELL STREET MANHATTAN NY 10013
106,40365938,NANCY'S RESTAURANT,2018,2.0,25541 JAMAICA AVENUE QUEENS NY 11001
107,40365942,HOP KEE RESTAURANT,2018,1.0,21 MOTT STREET MANHATTAN NY 10013
108,40365968,NANCY WHISKEY PUB,2018,1.0,1 LISPENARD ST MANHATTAN NY 10013
109,40365972,BLARNEY BAR,2018,2.0,14609 JAMAICA AVENUE QUEENS NY 11435
110,40366002,MARGHERITA PIZZA,2018,2.0,16304 JAMAICA AVENUE QUEENS NY 11432
112,40366054,HEALY'S PUB,2018,1.0,10807 ROCKAWAY BEACH BOULEVARD QUEENS NY 11694
113,40366109,FIFTH AVENUE BINGO,2018,1.0,416 5 AVENUE BROOKLYN NY 11215
116,40366154,MICHAEL'S RESTAURANT,2018,1.0,2929 AVENUE R BROOKLYN NY 11229
117,40366162,LENIHAN'S SALOON,2018,1.0,11909 ATLANTIC AVENUE QUEENS NY 11418
118,40366222,KILLARNEY ROSE,2018,1.0,80 BEAVER STREET MANHATTAN NY 10005
119,40366230,DON PEPPE,2018,1.5,13558 LEFFERTS BOULEVARD QUEENS NY 11420
120,40366356,BLARNEY CASTLE,2018,3.0,20224 ROCKAWAY POINT BOULEVARD QUEENS NY 11697
121,40366361,THREE STAR RESTAURANT,2018,1.3333333333333333,1611 AVENUE U BROOKLYN NY 11229
123,40366381,DANGERFIELD'S NIGHT CLUB,2018,2.0,1118 1 AVENUE MANHATTAN NY 10065
124,40366396,DESMOND'S TAVERN,2018,1.0,433 PARK AVENUE SOUTH MANHATTAN NY 10016
127,40366471,ROLL-N-ROASTER,2018,3.0,2901 EMMONS AVENUE BROOKLYN NY 11235
129,40366473,TIO PEPE,2018,1.0,168 WEST    4 STREET MANHATTAN NY 10014
130,40366487,BRENNAN & CARR,2018,1.0,3432 NOSTRAND AVENUE BROOKLYN NY 11229
132,40366497,THE PUNCH BOWL,2018,3.0,5820 BROADWAY BRONX NY 10463
134,40366543,JARDIN DE CHINA REST,2018,2.0,3737 JUNCTION BOULEVARD QUEENS NY 11368
135,40366549,IRISH COTTAGE,2018,2.0,10807 72 AVENUE QUEENS NY 11375
137,40366574,BLARNEY STONE,2018,3.0,11 TRINITY PLACE MANHATTAN NY 10006
139,40366586,SHIMONS KOSHER PIZZA,2018,2.0,7124 MAIN STREET QUEENS NY 11367
140,40366652,FASCATI'S PIZZERIA,2018,1.0,80 HENRY STREET BROOKLYN NY 11201
142,40366661,BABY BO'S CANTINA,2018,1.5,627 2 AVENUE MANHATTAN NY 10016
143,40366711,LI GRECI'S STAATEN RESTAURANT,2018,1.0,697 FOREST AVENUE STATEN ISLAND NY 10310
144,40366716,SHUN LEE PALACE RESTAURANT,2018,2.0,155 EAST   55 STREET MANHATTAN NY 10022
145,40366742,TAMAQUA,2018,1.5,84 EBONY COURT BROOKLYN NY 11229
146,40366812,CARA MIA,2018,2.0,22020 HILLSIDE AVENUE QUEENS NY 11427
147,40366833,IHOP,2018,2.0,4340 BOSTON ROAD BRONX NY 10475
148,40366857,MALONEY'S BAR,2018,1.0,8769 SUTPHIN BOULEVARD QUEENS NY 11435
150,40366879,LA FUSTA RESTAURANT,2018,2.5,8032 BAXTER AVENUE QUEENS NY 11373
151,40366928,RICHMOND COUNTY COUNTRY CLUB,2018,1.0,135 FLAGG PLACE STATEN ISLAND NY 10304
152,40366929,LITTLE BROWN JUG,2018,2.0,12402 JAMAICA AVENUE QUEENS NY 11418
153,40366938,LULU'S COFFEE SHOP,2018,3.0,1191 CASTLE HILL AVENUE BRONX NY 10462
155,40366961,MITCHELL'S RESTAURANT,2018,1.0,617A VANDERBILT AVENUE BROOKLYN NY 11238
156,40366993,FINNEGAN'S WAKE PUB,2018,1.0,1361 FIRST AVENUE MANHATTAN NY 10021
158,40367005,DA VINCI PIZZA,2018,2.5,6514 18 AVENUE BROOKLYN NY 11204
159,40367038,MEXICO LINDO RESTAURANT,2018,1.0,459 2 AVENUE MANHATTAN NY 10010
160,40367161,MARINA DELRAY,2018,2.0,2894 SCHURZ AVE BRONX NY 10465
161,40367164,NEW FLORIDIAN DINER,2018,1.3333333333333333,2301 FLATBUSH AVENUE BROOKLYN NY 11234
162,40367179,TWINS PUB,2018,1.0,421 9 AVENUE MANHATTAN NY 10001
164,40367183,NARROWS COFFEE SHOP,2018,1.0,10001 4 AVENUE BROOKLYN NY 11209
165,40367189,BROOME STREET BAR,2018,2.0,363 WEST BROADWAY MANHATTAN NY 10013
167,40367232,O'HANLON'S PUB,2018,2.0,2257 31 STREET QUEENS NY 11105
